Sample:float,Data:float
"1099.0","-6534.0"
"1100.0","-6435.0"
"1101.0","-6313.0"
"1102.0","-6164.0"
"1103.0","-5984.0"
"1104.0","-5785.0"
"1105.0","-5557.0"
"1106.0","-5314.0"
"1107.0","-5045.0"
"1108.0","-4753.0"
"1109.0","-4444.0"
"1110.0","-4118.0"
"1111.0","-3772.0"
"1112.0","-3406.0"
"1113.0","-3039.0"
"1114.0","-2654.0"
"1115.0","-2252.0"
"1116.0","-1846.0"
"1117.0","-1429.0"
"1118.0","-1010.0"
"1119.0","-591.0"
"1120.0","-164.0"
"1121.0","257.0"
"1122.0","679.0"
"1123.0","1101.0"
"1124.0","1511.0"
"1125.0","1921.0"
"1126.0","2323.0"
"1127.0","2710.0"
"1128.0","3090.0"
"1129.0","3452.0"
"1130.0","3789.0"
"1131.0","4125.0"
"1132.0","4437.0"
"1133.0","4729.0"
"1134.0","5002.0"
"1135.0","5246.0"
"1136.0","5472.0"
"1137.0","5679.0"
"1138.0","5865.0"
"1139.0","6012.0"
"1140.0","6127.0"
"1141.0","6224.0"
"1142.0","6297.0"
"1143.0","6347.0"
"1144.0","6357.0"
"1145.0","6344.0"
"1146.0","6308.0"
"1147.0","6239.0"
"1148.0","6147.0"
"1149.0","6019.0"
"1150.0","5869.0"
"1151.0","5696.0"
